pmid,sentence
1875_0_edt_t5para,"Since medium and small LDL particles are more highly associated with cardiovascular disease than are larger LDL, the present results suggest that very high saturated fat intake will increase cardiovascular disease risk in phenotype B individuals."
1876_0_edt_t5para,"While not significant, IR levels decreased over time, which was indicative of a clinical improvement."
1877_0_edt_t5para,"Because low general nutrition knowledge was detrimental to dietary intake, health, and operational readiness in military personnel, nutrition education programs particularly targeted at SOLs and CKs seem warranted"
1879_0_edt_t5para,This finding suggests that both GSTM1 and GSTT1 will contribute to the clinical course of T2DM patients.
1880_0_edt_t5para,Implementing nutrition counseling at all stages of ART implementation will improve ART outcomes in this vulnerable population.
1881_0_edt_t5para,"Diet will influence the pharmacokinetics of ASA, but effects was through modulation of glycine conjugation rather than glucuronidation"
1881_1_edt_t5para,"Why can't diet influence the pharmacokinetics of ASA, but effects was through modulation of glycine conjugation rather than glucuronidation."
1882_0_edt_t5para,"Closer follow-up with patients who evidence presurgical psychological factors, both before and after surgery, will help improve outcome."
1884_0_edt_t5para,The balance between LDL and HDL had an impact on the development of arterial stiffness after ADT administration.
1885_0_edt_t5para,"So, providing information will reduce subsequent depression and anxiety, while reducing depression and anxiety levels will increase satisfaction with received information."
1885_1_edt_t5para,"Which method of providing information reduces subsequent depression and anxiety, while reducing depression and anxiety levels will increase satisfaction with received information."
1887_0_edt_t5para,"In one study, the combination of information and emotional support was helpful."
1888_0_edt_t5para,Apelin to be directly involved in the regulation of insulin sensitivity.
1889_0_edt_t5para,"What are the best treatments for COPD, including a treatment that requires only a few drops in the first 24 hours to reduce the risk of exacerbations."
1890_0_edt_t5para,"Instead of patient and surgeon variables was responsible for the differences observed, and was targeted in future research to improve equity."
1890_1_edt_t5para,Instead of patient and surgeon variables was responsible for the differences observed and was targeted in future research to improve equity.
1892_0_edt_t5para,"As in all other gynecological diseases, the postmenopausal ovary is hormonally active. The E2 produced by postmenopausal ovaries will contribute to the maintenance of lipid metabolism."
1893_0_edt_t5para,The rs7044343 polymorphism was involved in regulating the production of IL-33. (Boreal) IL-3 is a beta and is in synchrotron mode.
1895_0_edt_t5para,Obstetric care provider was aware about the diagnosis of GDM had affected the decision-making regarding the route of delivery.
1897_0_edt_t5para,Relative low prevalence of pfcrt-SVMNT in Africa will result from genetic or other factors rendering P. falciparum less supportive of this haplotype than in Europe or other regions.
1899_0_edt_t5para,"Suggesting a healthy lifestyle, oxidative stress and excessive calories per day. All of them may play a role in the pathogenesis and progression of psoriasis and its related complications."
1901_0_edt_t5para,"This will raise the risk of atherosclerosis, particularly cardiovascular disorders."
1903_0_edt_t5para,Results are suggest that improving muscular fitness and an adherence to the SEAdiet were important strategies to reduce clustered cardiometabolic risk in youth.
1905_0_edt_t5para,An EGFR mutation and lung adenocarcinoma can have different sex-specific incidences. Our data suggests that age and obesity will contribute to the sex-specific incidence of EGFR mutation in lung adenocarcinoma in different ways.
1907_0_edt_t5para,Overall steroid was useful in dme but not in fovea.
1908_0_edt_t5para,Why the expected negative result of MRI will cause a low compliance rate for recommended follow up.
1910_0_edt_t5para,"Also, due to the low transport membrane size and large body size the number of people in China has decreased. This is an effective approach to solve the dialysis problem."
1912_0_edt_t5para,"So, the Pilates method was used to develop mood disorders in overweight/obese individuals."
1914_0_edt_t5para,Increasing the WTC will help to reduce fatigue among employees.
1915_0_edt_t5para,"At the molecular level, sitagliptin blocks  cells in the pancreas by elongating the telomere length."
1917_0_edt_t5para,"In a randomized controlled trial of 230 infants with genetic risk factors for celiac disease, we did not find evidence that weaning to a diet of extensively hydrolyzed formula compared with cows milk would decrease the risk of celiac disease later in life."
1918_0_edt_t5para,Increase titers of cows milk antibody before anti-TG2A and celiac disease indicate that subjects with celiac disease had increased intestinal permeability in early life.
1919_0_edt_t5para,Breast Cancer. Increase carbohydrate intake by half a month for women with a positive IGFI ring.
1920_0_edt_t5para,Cardiovascular management: Improved cholesterol levels monitoring will increase adherence and cholesterol management.
1922_0_edt_t5para,"In this context, the doses per kilogram of weight had an impact on the metformin effect."
1923_0_edt_t5para,Had a positive effect on weight loss maintenance after body contouring determined from the mean weight change and on percentage of patients who maintain at least a 20% decrease in body weight.
1924_0_edt_t5para,Rapid progressors will benefit from carefully clinical follow up and early preventive measures.
1925_0_edt_t5para,"In obese patients, a robot surgeon should perform surgical surgery which eliminates the risk of wound complications."
1926_0_edt_t5para,O.E. A electronic dietary recording system will improve eating and exercise behaviour in a self-monitoring process.
1928_0_edt_t5para,"What should be the requirements of UA, Hb and urine protein after diagnosis was a promising treatment."
1929_0_edt_t5para,Less cholesterol consumption and a higher intake of monounsaturated fatty acid can reduce PD risk in men and women respectively.
1930_0_edt_t5para,"With a higher triglyceride concentration, the determined interactions will result in significant differences in the risk conveyed through hcy with regard to disease development."
1931_0_edt_t5para,LopiGLIK® is for clinical management of CV risk factors in subjects with mild hypercholesterolemia. It is recommended for use in children under 18.
1932_0_edt_t5para,Metformin is a cytotoxic hormone that reduces the appearance of tumours. It has been confirmed in previous studies.
1932_1_edt_t5para,"Metformin will improve tumour response in the non-randomized, retrospective studies analysed, but it will necessarily confer survival benefits."
1933_0_edt_t5para,"In perioperative hospitalizations involving diabetes mellitus and other diseases, there was a tendency toward a protective effect in patients with uncontrolled diabetes mellitus, suggesting that such patients will benefit from perioperative antibiotic use."
1934_0_edt_t5para,Variability in withdrawal of life-sustaining therapy had a potential impact both on rates of cDCD success and quality of palliative care
1936_0_edt_t5para,Observing growth trajectories will improve chronic disease prevention.
1938_0_edt_t5para,"So, IR was accused of causing detrimental effect on male infertility due to hyperinsulinemic state and being one of the components for MetS."
1939_0_edt_t5para,Our study provides preliminary evidence that mothers who consume diets higher in fruit and lower in fried food and cured meats during pregnancy will reduce the risk of unilateral retinoblastoma in their offspring.
1940_0_edt_t5para,Similar initial differences would modulate the risk of cardiovascular events later in the course of arthritis.
1941_0_edt_t5para,The ANRIL polymorphisms will confer risk to development of MACE in incident patients on hemodialysis. The results indicated that ANRIL polymorphisms will confer risk to development of MACE in incident patients.
1942_0_edt_t5para,Sldenafil is a therapeutic drug that treats metabolic disease. It is more efficient than generic drugs.
1943_0_edt_t5para,Cities with similar challenges in context and high risk populations for diabetes in pregnancy will benefit from this experience of implementing a register.
1944_0_edt_t5para,"If you are overweight and obese in any way, this community-based obesity treatment program will help accommodate the need for improvements in treatment availability and accessibility."
1945_0_edt_t5para,Intensive prenatal nutrition counseling offered in an urban community health setting will decrease LGA births among a group of overweight and obese women from culturally diverse backgrounds at risk for adverse maternal and neonatal outcomes.
1946_0_edt_t5para,Why is there no statin-OxPL-apoB treatment interaction suggests thatxa0OxPLs was statin-independent therapeutic targets to reduce risk of cardiovascular events.
1947_0_edt_t5para,So far it has been reported that the SNP Rs3775291 is a low effector on the development of TLR3 (assisted immune therapy).
1948_0_edt_t5para,"In the end, placement of a stent will decrease the likelihood of symptomatic recurrence."
1949_0_edt_t5para,"Are rare and endogenous CNVs a factor in breast cancer survival, if not otherwise causing breast cancer at a young age."
1950_0_edt_t5para,A simultaneous integrated boost strategy will benefit from adaptive planning during the course.
1951_0_edt_t5para,"Metabolic disorders in this population were due to HIV infection or lifestyle (smoking, sedentary lifestyle and inadequate diet)."
1953_0_edt_t5para,"It was not dyslipidemia, but some other common genetic or risk factors that was responsible for the increased insulin resistance in antipsychotic nave schizophrenia patients in our study population."
1954_0_edt_t5para,HDL cholesterol has a protective effect against sepsis.
1955_0_edt_t5para,Advances in knowledge: Small lesions on MR lesion characteristics will be helpful in determining whether benign or malignant.
1956_0_edt_t5para,"SRS is a possibility for treating patients with a smaller number of BMs and may appear harmful to them as they achieve small BMs. To determine the effect of resection, use SRS alone."
1957_0_edt_t5para,Health education is effective for solving the problem.
1958_0_edt_t5para,"'-' In summary, the aggregate was a synergistic effect."
1959_0_edt_t5para,"To evaluate the good health of the person taking rye supplements, we found that whole grain consumption was beneficial for T2D prevention."
1960_0_edt_t5para,Age stratification will enhance evaluation of risk for CVD and mortality in early RA.
1961_0_edt_t5para,Incorporation of this signature will help to stratify risk of early stage TNBC.
1962_0_edt_t5para,"Surgically, the quick-term application of ZOL will be sufficient to improve the outcome in postmenopausal patients."
1966_0_edt_t5para,"After 35 years of weight, obese children in California are at highest risk of developing mental health issues."
1967_0_edt_t5para,"Preventing deterioration of malnutrition, coupled to early detection of HIV/AIDS, and extending the duration of feeding supplementation, was crucial elements for ensuring full recovery and improve child survival in malnourished Zambian children."
1968_0_edt_t5para,This study suggests that total and red meat will play a role in the etiology of prostate cancer in Uruguay.
1970_0_edt_t5para,Effective interventions aimed at children with obesity are necessary and would work in synergy with population-level prevention strategies to accelerate progress in reducing obesity prevalence.
1971_0_edt_t5para,A1298A polymorphism can contribute to an increased risk of breast cancer and/or ovarian cancer susceptibility.
1972_0_edt_t5para,Early childhood obesity intervention with electronic decision support for clinicians and self-guided behavior-change support for parents was more cost-effective than previous clinical interventions.
1973_0_edt_t5para,"In this respect, it was concluded that for continued use of DMPA will predispose females to the risk of cardiovascular disease in the long run."
1973_1_edt_t5para,This is to increase the risk of cardiovascular disease and DMPA in humans.
1974_0_edt_t5para,Novel EN formulas for a lower nonprotein energy-to-nitrogen ratio will help to optimize protein delivery without the harmful effects of overfeeding.
1975_0_edt_t5para,"Different configuration of the body and, specifically, the hand and wrist system, will influence the occurrence and severity of CTS."
1976_0_edt_t5para,Do some DAN AP members have medical problems which would affect the safety of their diving. Please contact us for any further information.
1978_0_edt_t5para,"Meat intake of cholesterol will increase the risk of active tuberculosis, whereas marine n-3 and n-6 FAs will reduce the risk of active tuberculosis in the Chinese population."
1978_1_edt_t5para,"Dietary intake of cholesterol will increase the risk of active tuberculosis, whereas marine n-3 and n-6 FAs will reduce the risk of active tuberculosis in China."
1979_0_edt_t5para,"If things go wrong in the short term, it's important to understand how unfair this is."
1981_0_edt_t5para,"Patients with severe nutritional depletion or surgical risk will benefit from mesenteric stenting for CMI, but close follow-up is required."
1982_0_edt_t5para,"If any national re-excision rate was cut by the US government by altering marginal policies to follow either SSO-ASTRO or ABS guidelines again, it would result in a modest reduction in the re-excision rate."
1983_0_edt_t5para,Findings of TB screening and glycaemic control along with social determinants such as literacy level and alcohol consumption were important methods of improving the HRQoL of TB patients.
1984_0_edt_t5para,"Application of either form of therapy alone will have relatively small effects on the aforementioned factors, in relation to the aggregate."
1985_0_edt_t5para,The detection and treatment of secondary lipid targets such as high TG and low HDL-C levels was important for the prevention of cardiovascular diseases.
1986_0_edt_t5para,"The inappropriate intake of selected nutrients will impair the functioning and quality of life of older adults with depression, such as the excess consumption of sucrose and insufficient consumption of protein, fiber, eicosapentaenoic acid, niacin and vitamin B6. The latter are the key to preventing cancer and preventing the growth of new cells."
1987_0_edt_t5para,"In addition, almost 30% of those ineligible were taking a statin, suggesting the guidelines will provide an opportunity to reduce statin use in those at low ASCVD risk."
1988_0_edt_t5para,Physical therapy with nutritional therapy is required to stop weakness in HSCT recipients.
1989_0_edt_t5para,"As such, switching from rosuvastatin to a new non-equipotent LLT will impart an increased risk of AMI. This procedure was avoided."
1989_1_edt_t5para,We conclude that switching from rosuvastatin to another LLT will impart an increased risk of AMI and was avoided.
1990_0_edt_t5para,"The gut is a source of vitamin D. Therefore, it mediates vitamin D effects."
1991_0_edt_t5para,"In addition to vitamin D, getting it early was critical for longevity."
1992_0_edt_t5para,"To assess the potential effect of physical stress on OSA postoperatively, the surgeon should do a weight-dependency analysis before performing or undergoing operation."
1993_0_edt_t5para,"What are some studies that showed that Mg decreases calcification in vascular walls, and that Mg does not harm vascular walls."
1994_0_edt_t5para,"We confirm the relationship between variations in PON1 activities and lipid metabolism, and showed that genetically programmed low PON1 activities had certain responsibility in the increase in glycemia and concomitantly the aggravation of atherosclerotic disease."
1995_0_edt_t5para,Importance to include the assessment of weight and height and nutritional intake in the context of the acute presentation as part of routine clinical assessment rather than relying on screening tools to identify those at risk.
1996_0_edt_t5para,"When using CV-12, glucose is reduced in patients with T2DM. These patients had been provided with an insulin inhibitor for a few days after."
1997_0_edt_t5para,TNP may play a role in enhancing wound healing as well as reducing infection.
1998_0_edt_t5para,But there is no evidence that t5xplp B12 does not have a mutation that could potentially cause breast cancer in Iran. The new study also finds that the ABCB1 polymorphism is not present in Saudi Arabia.
1999_0_edt_t5para,. Interventions that increase screening uptake will increase subsequent engagement with information.
2002_0_edt_t5para,Findings from other countries will be scope to reduce barriers to accessing non-English information and alternative communication strategies will benefit participants who are less inclined to weigh up advantages and disadvantages as part of their decision making.
2002_1_edt_t5para,Opportunities to change barriers for accessing non English information and alternative communication strategies will benefit participants who are less inclined to weigh up advantages and disadvantages as part of their decision making.
2003_0_edt_t5para,Our trial suggested that the effects of cooking classes focussing on salt reduction for housewives were transferred to family members (UMIN-CTR: 000018870).
2004_0_edt_t5para,"In addition to pharmacologic therapies and dietary interventions, providing behavioral therapy targeting healthy Internet usage was promising to reduce the effects of obesity in adolescence."
2005_0_edt_t5para,"Metformin is effective against coronary atherosclerosis in diabetes mellitus and early diabetes japan, compared with placebo."
2006_0_edt_t5para,Is their graphical representation useful for clinical decision-making.
2007_0_edt_t5para,"A healthy dietary pattern, better exercise self-efficacy and adequate sleep (more than six hours a night) will increase the likelihood of AHT adherence in individuals with high BP."
2008_0_edt_t5para,Adding an allowance for accumulation of thyroidal iodine would produce an EAR of 72 Î14g and a recommended dietary allowance of 80 Î14g.
2009_0_edt_t5para,Patients experience WL following RC.
2010_0_edt_t5para,"From a mental perspective, work-related psychosocial stress can increase the risk of T2DM only amongst women in their early 60s."
2011_0_edt_t5para,"Hypertension and acute phase response may contribute to CVD risk by effects upon fibrinogen and lipids, but requires confirmation by prospective evaluation."
2013_0_edt_t5para,It adds to the literature suggesting that abdominoplasty in select patients will improve incontinence symptoms.
2014_0_edt_t5para,"These will represent a precursor or form fruste of the osteosarcopenic obesity phenotype in young healthy overweight/obese subjects, who will develop osteosarcopenia in its full form at an older age."
2015_0_edt_t5para,Mind Subtraction Meditation has been beneficial for breast cancer survivors.
2018_0_edt_t5para,Had one time considered cardiovascular risk and found that Central Adiposity was of the utmost importance. My stroke risk was decreased.
2019_0_edt_t5para,"If PA replaces sedentary behavior with physical activity, there is a high metabolic risk."
2020_0_edt_t5para,Physical rehabilitation aims at improving exercise tolerance will improve the long-term prognosis after operations for lung cancer.
2021_0_edt_t5para,"On contrary, unhydrogenated oils could produce significant reduction of CHD incidence."
2022_0_edt_t5para,The findings of this study also indicated that interventions integrating household food insecurity in nutrition programs in the district will help to avert the burden of stunting.
2023_0_edt_t5para,"Pregnancies in youths with type 2 diabetes were especially prone to result in congenital anomalies."""
2024_0_edt_t5para,The validity of these biomarkers will influence the clinical care of patients with CCM disease.
2026_0_edt_t5para,"""Our findings suggest that greater levels of social support will improve certain indicators of physical and mental wellbeing in older adults with type 2 diabetes, regardless of the presence of diabetes complications and other chronic pathologies."""
2027_0_edt_t5para,hsTnI played a role in personalizing preventive strategies in patients with diabetes mellitus based on risk.
2028_0_edt_t5para,"CVD will be managing in GPs for maximum safety, and ensure that patients are provided with well maintained, up-to-date equipment. Continuous training of physicians for CVD will help GPs to make adequate decisions."
2029_0_edt_t5para,"If an individual dies in general, he/she has a negative self-perception of being unhealthy, thereby precipitating and promoting a disturbed eating attitude and behaviour that will lead to an eating disorders."
2029_1_edt_t5para,"Cette notion, had an impact on self-perception and dieting behaviour in certain individuals, precipitating and promoting disturbed eating attitudes and behaviour that will lead to the onset of eating disorders."
2032_0_edt_t5para,"""Genotyping these variants will help to achieve the benefits of statin therapy more safely and effectively,"" says the company."
2033_0_edt_t5para,In a real-life setting we confirmed in eyes with center-involved DME without prior glaucoma or IOP elevation that repeated anti-VEGF IVI will increase the risk of sustained IOP elevation in about 7% of eyes.
2034_0_edt_t5para,"This was the result of an adaptation process achieved through a decrease of growth velocity, and is no longer functional."
2035_0_edt_t5para,Importance of daily 25 hydroxyvitamin D in preventing bladder cancer.
2036_0_edt_t5para,"On the other hand, this will result in a significant reduction in the burden of testing on both patients and testing facility staff."
2037_0_edt_t5para,"Increased IOP combined with decreased retrobulbar blood flow, particularly in obese individuals, will increase the risk of glaucoma development."
2038_0_edt_t5para,Will increased encouragement of these skills help reduce reliance on UPF.
2039_0_edt_t5para,Defiprone-containing chelating agent had a protective effect.
2040_0_edt_t5para,"Effects of PFAS on adult body fat on skeletal and cardiovascular fitness including age, height, weight, weight and height."
2041_0_edt_t5para,Our postulate that SMS would affect peoples adherence to preventive programs.
2041_1_edt_t5para,Does SMS affect people's adherence to preventive programs.
2042_0_edt_t5para,"With lower plasma concentration of high-density lipoprotein cholesterol, total antioxidant capacity, and Î-tocopherol levels, and a dietary pattern that is low in fish and high in red meat, cognition impairment occurs in older Chinese adults."
2043_0_edt_t5para,"""Certain reproductive factors had a greater impact on the risk of certain molecular subtypes of disease compared with others."
2044_0_edt_t5para,"This article was written for reference purposes only and does not contain any information on how HDL functions have been affected by conventional lipid therapy. In light of recent results, the findings show that classical lipid therapy has additional effects on HDL functions with changes in HDL proteins."
2045_0_edt_t5para,"As described earlier, the higher ORR and Ki67 reduction in the ER+, HER2+ subgroup indicates a potential role for PI3K-targeted therapy in this settingxa0and will warrant further investigation with better-tolerated second-generation PI3K inhibitors."
2046_0_edt_t5para,"Slowed processing speed had substantial implications for independent functioning, supporting the potential importance of early implementation of an exercise intervention among patients with breast cancer"
2047_0_edt_t5para,(Petri): Imcorporating culturally centered individualized MT was an effective intervention to reduce stressors.
2049_0_edt_t5para,"However, the results confirm that the vaccine is safe and suggest that vaccination had clinical benefit in patients with low HER2-expressing tumors, specifically TNBC."
2050_0_edt_t5para,"If a group of cancers is included in this experimental approach, their survival is maximized."
2052_0_edt_t5para,28.0% of the studies PHIV/aids had BMI values >= 25.0 Kg x m(-2).
2053_0_edt_t5para,"In food, the mechanisms for the changes in food preferences will involve both unconditioned and conditioned effects."
2054_0_edt_t5para,"Loading cholesterol in mice: Simvastatins, p-tau181; vivo.. Regulation of sivastatin in mouse."
2055_0_edt_t5para,Metformin does not promote the anti-cancer effects. It has been proven to lower the number of deaths from other causes.
2056_0_edt_t5para,Would better acceptance of a nasally administered vaccine increase vaccination coverage in the future for nasal vaccines.
2057_0_edt_t5para,"So, promoting social support for the IMSS diabetic patients was a useful intervention."
2058_0_edt_t5para,"When care was provided for a longer period, it is apparent that the model of care had an impact on families daily living, not only during the initial period of care but also for a longer period of time."
2059_0_edt_t5para,"Reproduction: With the majority of patients presenting after 8 hours, widening of the therapeutic window would appreciably increase treatment utilisation."
2060_0_edt_t5para,Factors that influence specific fatty acid pattern are metabolic or genetic.
2061_0_edt_t5para,"Increased PAI1 and Lp(a) would impair fibrinolysis and potentially increase CVD risk, although the mechanism for these effects is uncertain but does not appear related to cytokine or insulin mediated mechanisms."
2062_0_edt_t5para,Women with GDM can easily be connected to the online education program.
